field,chi2,dof,p_value,cramers_v,n,q_value_bh
Main Work,19.0,2,7.485182988770057e-05,1.0,19,0.00037425914943850285
Tobacco Smoke Use,16.086800573888095,2,0.0003212148683540934,0.46313137911235075,75,0.0008030371708852334
Marital Status,4.909107876073163,3,0.1785749894739265,0.2375426852403285,87,0.23224246813514285
Alcohol USe Frequency,3.3662337662337665,2,0.18579397450811427,0.20385887657505022,81,0.23224246813514285
Education,5.491071428571428,6,0.48253650037189477,0.34931906550288594,45,0.48253650037189477
