tribe,code,count,pct
Nirankal,11.7,1,0.2403846153846154
Nirankal,13.9,1,0.2403846153846154
Nirankal,14.4,1,0.2403846153846154
Nirankal,14.5,1,0.2403846153846154
Nirankal,148.6,1,0.2403846153846154
Nirankal,153,1,0.2403846153846154
Nirankal,16,2,0.4807692307692308
Nirankal,16.9,1,0.2403846153846154
Nirankal,17,1,0.2403846153846154
Nirankal,17.2,1,0.2403846153846154
Nirankal,18,1,0.2403846153846154
Nirankal,18.6,2,0.4807692307692308
Nirankal,19,2,0.4807692307692308
Nirankal,21,2,0.4807692307692308
Nirankal,21.5,1,0.2403846153846154
Nirankal,22,1,0.2403846153846154
Nirankal,23,1,0.2403846153846154
Nirankal,23.3,1,0.2403846153846154
Nirankal,24.5,1,0.2403846153846154
Nirankal,25.6,1,0.2403846153846154
Nirankal,25.7,1,0.2403846153846154
Nirankal,26,1,0.2403846153846154
Nirankal,26.3,1,0.2403846153846154
Nirankal,26.5,1,0.2403846153846154
Nirankal,27,1,0.2403846153846154
Nirankal,27.4,1,0.2403846153846154
Nirankal,27.5,1,0.2403846153846154
Nirankal,29,1,0.2403846153846154
Nirankal,32.2,2,0.4807692307692308
Nirankal,33,1,0.2403846153846154
Nirankal,35,1,0.2403846153846154
Nirankal,37,1,0.2403846153846154
Nirankal,38.95,1,0.2403846153846154
Nirankal,39.5,1,0.2403846153846154
Nirankal,40,1,0.2403846153846154
Nirankal,41,1,0.2403846153846154
Nirankal,41.05,1,0.2403846153846154
Nirankal,44,1,0.2403846153846154
Nirankal,47.05,1,0.2403846153846154
Nirankal,50.75,1,0.2403846153846154
Nirankal,51.5,1,0.2403846153846154
Nirankal,55.5,1,0.2403846153846154
Nirankal,6,1,0.2403846153846154
Nirankal,62,2,0.4807692307692308
Nirankal,7.5,1,0.2403846153846154
Nirankal,72.6,1,0.2403846153846154
Nirankal,78,2,0.4807692307692308
Nirankal,A,1,0.2403846153846154
Nirankal,D,5,1.201923076923077
Nirankal,DLW,27,6.490384615384616
Nirankal,MEDIAN,1,0.2403846153846154
Nirankal,MODE,1,0.2403846153846154
Nirankal,PA,66,15.865384615384615
Nirankal,RL,7,1.6826923076923077
Nirankal,TA,13,3.125
Nirankal,UL,79,18.990384615384613
Nirankal,UN,3,0.7211538461538461
Nirankal,W,159,38.22115384615385
Virnoda,DLW,37,8.043478260869565
Virnoda,PA,56,12.173913043478262
Virnoda,RL,3,0.6521739130434783
Virnoda,TA,2,0.43478260869565216
Virnoda,UL,123,26.73913043478261
Virnoda,UN,64,13.91304347826087
Virnoda,W,175,38.04347826086957
